n,x,v
237,-0.737933,0.974926
238,-0.733059,1.00792
239,-0.728019,1.04075
240,-0.722815,1.07338
241,-0.717449,1.10583
242,-0.711919,1.13808
243,-0.706229,1.17012
244,-0.700378,1.20195
245,-0.694369,1.23357
246,-0.688201,1.26495
247,-0.681876,1.29611
248,-0.675395,1.32702
249,-0.66876,1.35769
250,-0.661972,1.3881
251,-0.655031,1.41825
252,-0.64794,1.44813
253,-0.640699,1.47773
254,-0.633311,1.50705
255,-0.625776,1.53608
256,-0.618095,1.56481
257,-0.610271,1.59324
258,-0.602305,1.62135
259,-0.594198,1.64914
260,-0.585952,1.6766
261,-0.577569,1.70372
262,-0.569051,1.7305
263,-0.560398,1.75693
264,-0.551614,1.783
265,-0.542699,1.80871
266,-0.533655,1.83404
267,-0.524485,1.85899
268,-0.51519,1.88355
269,-0.505772,1.90772
270,-0.496234,1.93148
271,-0.486576,1.95484
272,-0.476802,1.97777
273,-0.466913,2.00028
274,-0.456912,2.02236
275,-0.4468,2.044
276,-0.43658,2.0652
277,-0.426254,2.08594
278,-0.415824,2.10622
279,-0.405293,2.12603
280,-0.394663,2.14537
281,-0.383936,2.16423
282,-0.373115,2.1826
283,-0.362202,2.20048
284,-0.3512,2.21786
285,-0.34011,2.23474
286,-0.328937,2.2511
287,-0.317681,2.26694
288,-0.306346,2.28227
289,-0.294935,2.29706
290,-0.28345,2.31132
291,-0.271893,2.32503
292,-0.260268,2.33821
293,-0.248577,2.35083
294,-0.236823,2.3629
295,-0.225008,2.3744
296,-0.213136,2.38535
297,-0.20121,2.39572
298,-0.189231,2.40553
299,-0.177203,2.41475
300,-0.16513,2.4234
301,-0.153013,2.43146
302,-0.140855,2.43894
303,-0.128661,2.44582
304,-0.116431,2.45212
305,-0.104171,2.45782
306,-0.0918818,2.46292
307,-0.0795672,2.46742
308,-0.0672301,2.47132
309,-0.0548735,2.47461
310,-0.0425005,2.4773
311,-0.030114,2.47938
312,-0.0177171,2.48086
313,-0.00531275,2.48173
314,0.0070959,2.48199
315,0.0195059,2.48164
316,0.0319141,2.48069
317,0.0443175,2.47912
318,0.0567131,2.47695
319,0.0690979,2.47417
320,0.0814687,2.47078
321,0.0938226,2.46679
322,0.106157,2.46219
323,0.118468,2.457
324,0.130753,2.4512
325,0.143009,2.4448
326,0.155233,2.43781
327,0.167422,2.43023
328,0.179573,2.42206
329,0.191683,2.4133
330,0.20375,2.40395
331,0.215769,2.39403
332,0.227739,2.38353
333,0.239657,2.37245
334,0.251519,2.36081
335,0.263323,2.3486
336,0.275066,2.33583
337,0.286746,2.32251
338,0.298358,2.30864
339,0.309901,2.29422
340,0.321372,2.27926
341,0.332769,2.26377
342,0.344087,2.24774
343,0.355326,2.2312
344,0.366482,2.21413
345,0.377553,2.19656
346,0.388536,2.17848
347,0.399428,2.15989
348,0.410228,2.14082
349,0.420932,2.12126
350,0.431538,2.10121
351,0.442044,2.0807
352,0.452447,2.05972
353,0.462746,2.03827
354,0.472937,2.01638
355,0.483019,1.99403
356,0.492989,1.97125
357,0.502846,1.94804
358,0.512586,1.9244
359,0.522208,1.90034
360,0.53171,1.87588
361,0.541089,1.85101
362,0.550344,1.82575
363,0.559473,1.80009
364,0.568473,1.77406
365,0.577344,1.74766
366,0.586082,1.72088
367,0.594686,1.69375
368,0.603155,1.66627
369,0.611486,1.63845
370,0.619679,1.61029
371,0.62773,1.5818
372,0.635639,1.553
373,0.643404,1.52388
374,0.651023,1.49445
375,0.658496,1.46473
376,0.665819,1.43471
377,0.672993,1.40441
378,0.680015,1.37384
379,0.686884,1.343
380,0.693599,1.31189
381,0.700159,1.28053
382,0.706561,1.24893
383,0.712806,1.21708
384,0.718891,1.18501
385,0.724816,1.15271
386,0.73058,1.12019
387,0.736181,1.08745
388,0.741618,1.05452
389,0.746891,1.02139
390,0.751998,0.988064
391,0.756938,0.954558
392,0.761711,0.920875
393,0.766315,0.887023
394,0.77075,0.853008
395,0.775015,0.818836
396,0.779109,0.784514
397,0.783032,0.750049
398,0.786782,0.715448
399,0.79036,0.680716
400,0.793763,0.645861
401,0.796992,0.610889
402,0.800047,0.575805
403,0.802926,0.540617
404,0.805629,0.505331
405,0.808156,0.469953
406,0.810505,0.434489
407,0.812678,0.398946
408,0.814673,0.363329
409,0.816489,0.327645
410,0.818127,0.2919
411,0.819587,0.2561
412,0.820867,0.220251
413,0.821969,0.18436
414,0.82289,0.148431
415,0.823633,0.112472
416,0.824195,0.0764878
417,0.824577,0.040485
418,0.82478,0.00446949
419,0.824802,-0.0315527
420,0.824644,-0.0675757
421,0.824307,-0.103593
422,0.823789,-0.1396
423,0.823091,-0.175589
424,0.822213,-0.211555
425,0.821155,-0.247492
426,0.819917,-0.283393
427,0.8185,-0.319253
428,0.816904,-0.355066
429,0.815129,-0.390824
430,0.813175,-0.426524
431,0.811042,-0.462157
432,0.808731,-0.497719
433,0.806243,-0.533202
434,0.803577,-0.568601
435,0.800734,-0.603909
436,0.797714,-0.639121
437,0.794519,-0.674229
438,0.791147,-0.709227
439,0.787601,-0.74411
440,0.783881,-0.77887
441,0.779986,-0.813501
442,0.775919,-0.847996
443,0.771679,-0.882349
444,0.767267,-0.916554
445,0.762684,-0.950603
446,0.757931,-0.98449
447,0.753009,-1.01821
448,0.747918,-1.05175
449,0.742659,-1.08511
450,0.737234,-1.11828
451,0.731642,-1.15125
452,0.725886,-1.18402
453,0.719966,-1.21658
454,0.713883,-1.24892
455,0.707638,-1.28104
