n,x,v
224,0.0765008,-0.202113
225,0.0762987,-0.202863
226,0.0760958,-0.20361
227,0.0758922,-0.204356
228,0.0756878,-0.2051
229,0.0754827,-0.205842
230,0.0752769,-0.206582
231,0.0750703,-0.207319
232,0.074863,-0.208055
233,0.0746549,-0.208789
234,0.0744462,-0.20952
235,0.0742366,-0.21025
236,0.0740264,-0.210978
237,0.0738154,-0.211703
238,0.0736037,-0.212427
239,0.0733913,-0.213148
240,0.0731781,-0.213867
241,0.0729643,-0.214585
242,0.0727497,-0.2153
243,0.0725344,-0.216013
244,0.0723184,-0.216724
245,0.0721016,-0.217433
246,0.0718842,-0.218139
247,0.0716661,-0.218844
248,0.0714472,-0.219546
249,0.0712277,-0.220247
250,0.0710074,-0.220945
251,0.0707865,-0.221641
252,0.0705648,-0.222335
253,0.0703425,-0.223026
254,0.0701195,-0.223716
255,0.0698958,-0.224403
256,0.0696714,-0.225088
257,0.0694463,-0.225771
258,0.0692205,-0.226452
259,0.0689941,-0.22713
260,0.0687669,-0.227807
261,0.0685391,-0.228481
262,0.0683106,-0.229153
263,0.0680815,-0.229822
264,0.0678517,-0.23049
265,0.0676212,-0.231155
266,0.06739,-0.231818
267,0.0671582,-0.232478
268,0.0669257,-0.233136
269,0.0666926,-0.233793
270,0.0664588,-0.234446
271,0.0662243,-0.235098
272,0.0659893,-0.235747
273,0.0657535,-0.236394
274,0.0655171,-0.237038
275,0.0652801,-0.237681
276,0.0650424,-0.238321
277,0.0648041,-0.238958
278,0.0645651,-0.239594
279,0.0643255,-0.240226
280,0.0640853,-0.240857
281,0.0638444,-0.241485
282,0.0636029,-0.242111
283,0.0633608,-0.242735
284,0.0631181,-0.243356
285,0.0628747,-0.243975
286,0.0626308,-0.244591
287,0.0623862,-0.245205
288,0.062141,-0.245817
289,0.0618952,-0.246426
290,0.0616487,-0.247033
291,0.0614017,-0.247637
292,0.0611541,-0.248239
293,0.0609058,-0.248839
294,0.060657,-0.249436
295,0.0604076,-0.25003
296,0.0601575,-0.250623
297,0.0599069,-0.251212
298,0.0596557,-0.2518
299,0.0594039,-0.252385
300,0.0591515,-0.252967
